;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Domingos;;;;;;;;
MAQ;Estado;Medida;Orden de Fabricación;Código PT;Descricpción;REFERENCIA;CANT. PEDIDO;SALDO POR ATENDER;STOCK;UM;FECHA DE EMISION;FECHA DE ENTREGA;RAZON SOCIAL;MARCA;VENDEDOR;DETALLE PRODUCTO;OBSERVACIÓN;Cantidad;U.M.;MT;TP;Inicio Prod ;COLORES;MATERIAL;GRAMAGE;ANCHO;ALTO;CILINDRO;PESO POR MILLAR;PESO REQUERIDO;CANTIDAD DE EMPAQUETADO;TIPO DE ETIQUETA;Horas preparación de máquina;Horas corrección;Horas de Producción;Horas de tabajo (maquina);Dias de la semana;Horas Estimadas;Horas sub total;Dia festivo;Horas totales de producción;Fin de ocupación-Calculado;Fin de Producción-Proyectado;Auxiliar;Fin de Producción;Tipo de Producción;Stock PT;Stock PT (UM);Orden;Columna1
Flexo 2;Por programar;22.5X27.5X11.5;2604-8030;205051557;BAG SHOPPER PB PAQ. X 400 UND.;;;;;;;;;;;;;16;MIL;5760;5760.0000;5/1/2026 0:00:00;VERDE BK Y ROSADO;LINER;70;71;36;36;17.892;286.272;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;16;
Flexo 2;;22.5X27.5X11.5;2604-8042;205051640;BOLSA PAPEL KRAFT #22 C/ASA TWIS IMP. CROISSANTA & CAFE (FONDO NEGRO);;;;;;;;;;;;;20;MIL;7200;7200.0000;1/1/2026 0:00:00;NEGRO;KRAFT HOLMET;73;71;36;36;18.659;373.176;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;6;
Flexo 2;Por programar;22.5X27.5X11.5;2604-8030;205051557;BAG SHOPPER PB PAQ. X 400 UND.;;;;;;;;;;;;;16;MIL;5760;5760.0000;31/12/2025 0:00:00;VERDE BK Y ROSADO;LINER;70;71;36;36;17.892;286.272;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;-1;
Flexo 2;Por programar;21x27x13;2604-8137;205051555;BAG SHOPPER BK PAQ. X 400 UND.;;;;;;;;;;;;;60;MIL;21600;21600.0000;30/12/2025 0:00:00;MARRON BK, ROJO INTENSO, NARANJA BK;LINER;70;71;36;36;17.892;1073.520;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;-8;
Flexo 2;Por programar;22.5X27.5X11.5;2604-8032;205051556;BAG SHOPPER KFC PAQ. X 400 UND.;;;;;;;;;;;;;200;MIL;72000;72000.0000;8/1/2026 0:00:00;NEGRO Y ROJO;LINNER DUO;70;71;36;36;17.892;3578.400;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;8/1/2026 6:30:00;Stock;0.00;0.00;20;
Flexo 2;;21X27X13;2604-8029;205051558;BAG SHOPPER (LOCAL) PAQ. X 400 UND.;;;;;;;;;;;;;300;MIL;108000;108000.0000;9/1/2026 0:00:00;VERDE STARBUCKS;LINER;70;70;36;36;17.640;5292.000;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;8/1/2026 6:30:00;Stock;0.00;0.00;21;
Flexo 2;Por programar;22.5X27.5X11.5;2604-8033;205051309;BOLSA PAPEL KRAFT #22 C/ASA TWIST IMP. EL CHINITO (FELIX YONG);para stock;15;15;0.4;MIL;23/04/2025;23/04/2025;ZAO WANG S.A.C.;KRAFT 60 GR;COFICINA;MAQ 12-IMP. EL CHINITO (FELIX YONG)-01 COL NEGRO;;25;MIL;9000;9000.0000;10/1/2026 0:00:00;NEGRO;KRAFT;60;71;36;36;15.336;383.400;400 UND.;MEDIANA;MEDIANA;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;8/1/2026 6:30:00;Stock;0.00;0.00;22;
Flexo 2;Por programar;30x36x16;2604-8034;205050981;BOLSA PAPEL LINER #37 C/ASA TWIST NEGRA IMP. EL CHINITO (NEGRO);;;;;;;;;;;;;50;MIL;23500;23500.0000;1/1/2026 0:00:00;NEGRO;LINNER KRAFT;100;95;47;47;44.650;2232.500;250 UND.;MEDIANA.;MEDIANA.;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;2/1/2026 6:15:00;Stock;0.00;0.00;16;
Flexo 2;Por programar;30x36x16;2604-8035;205050959;BOLSA KRAFT GRANDE KFC CJ X 250 UN;;;;;;;;;;;;;200;MIL;94000;94000.0000;1/1/2026 0:00:00;ROJO Y NEGRO;KRAFT;70;95;47;47;31.255;6251.000;ETIQUETA CON LOGO;MEDIANA;MEDIANA;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;3/1/2026 17:30:00;Stock;0.00;0.00;18;
Flexo 2;Por programar;22.5X27.5X11.5;2604-8036;205051114;BOLSA PAPEL KRAFT BLANCO #22 C/ASA TWIST IMP. DD - 02 COL (PQT X 100 UND);;;;;;;;;;;;;15;MIL;5400;5400.0000;1/1/2026 0:00:00;NARANJA(P 165U) Y FUCSIA(P 206U);KRAFT BLANCO;65;71;36;36;16.614;249.210;01 PQT.;MEDIANA.;MEDIANA.;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;1/1/2026 21:12:00;Stock;0.00;0.00;20;
Flexo 2;Por programar;22.5X27.5X11.5;2604-8038;205051125;BOLSA PAPEL KRAFT #22 C/ASA TWIST NATURAL IMP. PARDOS CHICKEN - CJA X 400 UND;;;;;;;;;;;;;20;MIL;7200;7200.0000;1/1/2026 0:00:00;GCMI74;LINNER DUO;70;71;36;36;17.892;357.840;01 CJA.;MEDIANA;MEDIANA;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;1/1/2026 22:06:00;Stock;0.00;0.00;24;
Flexo 2;Por programar;30x35.5x16;2604-8039;205051124;BOLSA PAPEL KRAFT #37 C/ASA TWIST NATURAL IMP. PARDOS CHICKEN - CJA X 250 UND;;;;;;;;;;;; ;20;MIL;9400;9400.0000;1/1/2026 0:00:00;NEGRO;LINNER KRAFT;98;95;47;47;43.757;875.140;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;1/1/2026 23:12:00;Stock;0.00;0.00;20;
Flexo 2;;22.5X30X11.5;2604-8040;205050915;BOLSA PAPEL LINER #22 ALTO 30 C/ASA TWIST IMP. JUAN VALDEZ X 300 UND;;;;;;;;;;;;;26;MIL;10140;10140.0000;2/1/2026 0:00:00;MAGENTA;KRAFT HOLMET;73;71;39;39;20.214;525.556;CAMBIARLO (X100)   01 PQT;MEDIANA;MEDIANA;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;2/1/2026 23:34:12;Stock;0.00;0.00;22;
Flexo 2;;22.5X30X11.5;2604-8041;205050914;BOLSA PAPEL LINER #22 ALTO 30 C/ASA TWIST IMP. GELARTI X 100 UND;;;;;;;;;;;;;12;MIL;4680;4680.0000;3/1/2026 0:00:00;MAGENTA;KRAFT HOLMET;73;71;39;39;20.214;242.564;01 PQT.;MEDIANA;MEDIANA;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;3/1/2026 20:50:24;Stock;0.00;0.00;23;
Flexo 2;;22.5X27.5X11.5;2604-8042;205051640;BOLSA PAPEL KRAFT #22 C/ASA TWIS IMP. CROISSANTA & CAFE (FONDO NEGRO);;;;;;;;;;;;;20;MIL;7200;7200.0000;4/1/2026 0:00:00;NEGRO;KRAFT HOLMET;73;71;36;36;18.659;373.176;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;5/1/2026 22:06:00;Stock;0.00;0.00;24;
1;;11X10.5;2604-8018;205030894;SOBRE DE PAPA JR. BEMBOS PQTE X 4000 UND 2025;;;;;;;;;;;;NUEVO DISEÑO;300;MIL;No aplica;No aplica;5/1/2026 0:00:00;AZUL(P286U),ROJO(P2347U),AMARILLO CALENTADO(P116U),;ANTIGRASA;38;24;11;21;1.915;574.560;0;0;0;1;2;#¡VALOR!;24;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Stock;0.00;0.00;19;
1;Por programar;15X15;2604-8049;203010162;SOBRE PAPEL ANTIGRASA 15 X 15 IMP. FRIDAYS PQT X 1000UND;para stock;50;50;0.2;MIL;46002;46002;FRANQUICIAS ALIMENTARIAS S.A.;ANTIGRASA 40 GR;BETSY CERNA P.;;;60;MIL;No aplica;No aplica;6/1/2026 0:00:00;ROJO;ANTIGRASA;38;35;18;36;4.788;287.280;ETIQUETA CON QR;MEDIANA;MEDIANA;1;2;#¡VALOR!;24;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Stock;0.00;0.00;20;
1;;11X13;2604-0281;205030905;BOLSA PAPEL ANTIGRASA 11 X 12 IMP. BUB BLE (01 COL / 02 CAR) NARANJA;BUB BLE 11  X 12 ANTIGRASA 40GR, S/542.80;20;20;0;MIL;13/04/2026;13/05/2026;SALROMAN GRUPO GASTRONOMICO SOCIEDAD ANONIMA CERRADA;ANTIGRASA 40 GR;MARGOT MARCHENA;FLEXO 1-PAPAS 11 X 12 MED, PANTONE 716U NARANJA;;20;MIL;No aplica;No aplica;4/1/2026 0:00:00;NARANJA;ANTIGRASA;38;24;13;39;3.557;71.136;0;0;0;1;2;#¡VALOR!;24;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Stock;0.00;0.00;18;
1;;21X11X5;2602-0719      ;205020303;BOLSA PAPEL ANTIGRASA 11 X 18 X 5 IMP. MARIATE (02 CAR - MARRON) PQT X 2 MIL;ANTIGRASA 11 X 18 X 5, NO PRODUCIR;10;10;17;MIL;26/02/2026;2/03/2026;PASTELERIA FINA GMR SOCIEDAD ANONIMA CERRADA;ANTIGRASA 40 GR;MARGOT MARCHENA;;;50;MIL;No aplica;No aplica;5/1/2026 0:00:00;MARRON-P 477U;ANTIGRASA;38;35;21;21;2.793;139.650;0;0;0;1;2;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;1/1/2026 23:55:43;Stock;0.00;0.00;19;
1;;16X18X4.5;2604-0456A;205020316;BOLSA PAPEL ANTIGRASA 16 X 18 X 4.5 IMP. FRUTIX (2 COLORES);;100;100;0;MIL;17/04/2026;12/05/2026;CREACIONES ICHIBAN S.A.;ANTIGRASA 40 GR;MARIA PALACIOS;MAQ. 2-P213 C Y P137 C-;;100;MIL;No aplica;No aplica;6/1/2026 0:00:00;MAGENTA PANTONE 213C Y AMARILLO PANTONE 137C;ANTIGRASA;45;44;23;43;8.417;841.725;0;0;0;1;2;#¡VALOR!;24;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Stock;0.00;0.00;18;
1;;9X30X5;2604-0456B;205020611;BOLSA PAPEL ANTIGRASA 9 X 30 X 5 IMP. FRUTIX (2 COL);;50;50;0;MIL;17/04/2026;12/05/2026;CREACIONES ICHIBAN S.A.;ANTIGRASA 40 GR;MARIA PALACIOS;MAQ. 11-AMARILLO Y MAGENTA;;50;MIL;No aplica;No aplica;4/1/2026 0:00:00;MAGENTA PANTONE 213C Y AMARILLO PANTONE 137C;ANTIGRASA;38;31;30;33;3.887;194.370;0;0;0;1;2;#¡VALOR!;24;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Stock;0.00;0.00;17.5;
1;;11X10;2604-8043;205030794;BOLSA PAPA FRITA REGULAR KFC PQT X 4000 UND;;;;;;;;;;;;;480;MIL;No aplica;No aplica;5/1/2026 0:00:00;ROJO INTENSO;ANTIGRASA;38;24;10;11;1.003;481.536;01 PQT.;MEDIANA;MEDIANA;1;2;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;9/1/2026 16:12:51;Stock;0.00;0.00;17;
1;;11X15;2604-8044;205030725;BOLSA PAPA FRITA MEDIANA KFC PQT X 1000 UND;;;;;;;;;;;;;120;MIL;No aplica;No aplica;1/1/2026 0:00:00;ROJO INTENSO;ANTIGRASA;38;24;17;33;3.010;361.152;01 PQT.;MEDIANA;MEDIANA;1;2;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/01/1900;0/1/1900 0:00:00;;1/1/2026 23:55:43;Stock;0.00;0.00;10;
1;Por programar;16X23X4.5;2604-8046;205020043;BAG WARMING CS/500 C/LOGO STARBUCKS;;;;;;;;;;;;;200;MIL;No aplica;No aplica;1/1/2026 0:00:00;VERDE STARBUCKS;ANTIGRASA;45;44;26;26;5.090;1017.900;01 PQT.;MEDIANA;MEDIANA;1;2;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;2/1/2026 14:12:51;Stock;0.00;0.00;16;
1;Por programar;16X18.5X4.5;2604-8047;205020044;BAG SINGLE PASTRY SC/2000 C/LOGO STARBUCKS;;;;;;;;;;;;;200;MIL;No aplica;No aplica;1/1/2026 0:00:00;VERDE STARBUCKS;KRAFT;50;44;22;22;4.676;935.250;01 PQT.;MEDIANA;MEDIANA;1;2;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/01/1900;0/1/1900 0:00:00;;2/1/2026 14:12:51;Stock;0.00;0.00;17;
1;Por programar;12X12.5;2604-8048;205070001;SOBRE PAPAS CH X 500;;;;;;;;;;;;;100;MIL;No aplica;No aplica;1/1/2026 0:00:00;NO APLICA;ANTIGRASA;38;24;16;16;1.459;145.920;01 PQT.;MEDIANA;MEDIANA;1;2;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;1/1/2026 20:21:26;Stock;0.00;0.00;20;
2;;9X13;2604-8150;205030757;BOLSA PAPEL KRAFT PASTILLERA 9 X 13 IMP. SANNA (02 CAR - VERDE);;;;;;;;;;;;;20;MIL;No aplica;No aplica;3/1/2026 0:00:00;VERDE MATIZ*;KRAFT;50;21;15;15;1.575;31.500;1,000 UND.;CHICA;CHICA;1;2;#¡VALOR!;24;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Stock;0.00;0.00;23.83333333;
2;Por programar;7X24;2604-8051;205030852;BOLSA VYG PAPEL KRAFT B/PLANA 7 X 24 - CUBIERTOS (FARDO X 5,000 UND);;;;;;;;;;;;;300;MIL;No aplica;No aplica;2/1/2026 0:00:00;NO APLICA;KRAFT;50;17;24;26;2.104;631.125;5,000 UND.;MEDIANA;MEDIANA;1;2;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;22.83333333;
2;;7X13X4.5;2603-0520C;205020141;BOLSAS PAPEL BOND 1/4 LATERAL IMP. YUQUITAS MAFER (MARRON CHOCOLATE);ultimo diseño;30;30;0;MIL;18/03/2026;12/04/2026;CARRASCO SANTARIA MARITZA;BOND 56 GR;MARIA PALACIOS;;;30;MIL;No aplica;No aplica;4/1/2026 0:00:00;MARRON BK CLARO;BOND;56;24;15;15;2.016;60.480;0;0;0;1;2;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;24.83333333;
2;;0;2603-0637A;205020619;BOLSA PAPEL KRAFT 50 GR 1/4 LATERAL IMP RED ABANCAY (1 CAR -1 COL AZUL);YA TIENE CLISSE RED ABANCAY #1/4 50 gr #4 y #10 60 gr;110;110;0;MIL;23/03/2026;22/04/2026;INVERSIONES MENDOZA MIMBELA EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;KRAFT 50 GR;GISELLA SEGURA;FLEXOGRAFIA-RED ABANCAY 1 CAR 1 COL AZUL-SIN PIE DE IMPRENTA;;110;MIL;No aplica;No aplica;2/1/2026 0:00:00;AZUL;KRAFT;50;24;15;15;1.800;198.000;0;0;0;1;2;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;22.83333333;
2;;0;2603-0662      ;205020619;BOLSA PAPEL KRAFT 50 GR 1/4 LATERAL IMP RED ABANCAY (1 CAR -1 COL AZUL);YA TIENE CLISSE RED ABANCAY #1/4 50 gr #4 y #10 60 gr;10;10;0;MIL;24/03/2026;23/04/2026;INVERSIONES MENDOZA MIMBELA EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;KRAFT 50 GR;GISELLA SEGURA;FLEXOGRAFIA-RED ABANCAY 1 CAR 1 COL AZUL-SIN PIE DE IMPRENTA;;10;MIL;No aplica;No aplica;2/1/2026 0:00:00;AZUL;KRAFT;50;24;15;15;1.800;18.000;0;0;0;1;2;#¡VALOR!;24;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Stock;0.00;0.00;22.83333333;
2;Por programar;7X24;2604-8051;205030852;BOLSA VYG PAPEL KRAFT B/PLANA 7 X 24 - CUBIERTOS (FARDO X 5,000 UND);;;;;;;;;;;;;300;MIL;No aplica;No aplica;2/1/2026 0:00:00;NO APLICA;KRAFT;50;17;24;26;2.104;631.125;5,000 UND.;MEDIANA;MEDIANA;1;2;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;22.83333333;
2;Por programar;7X14X4.5;2604-8052;205020315;BOLSA VYG PAPEL KRAFT 1/4 LATERAL (FARDO X 5,000 UND) 2024;;;;;;;;;;;;;300;MIL;No aplica;No aplica;1/1/2026 0:00:00;NO APLICA;KRAFT;50;24;14;16;1.920;576.000;5,000 UND.;MEDIANA;MEDIANA;1;2;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;21.83333333;
2;;11X15;2604-8053;205030729;BOLSA PAPA FRITA MEDIANA BK PQT X 1000 UND;;;;;;;;;;;;;301;MIL;No aplica;No aplica;2/1/2026 0:00:00;MARRON V&G;ANTIGRASA;38;24;17;17;1.505;452.945;ETIQUETA CON QR;MEDIANA;MEDIANA;1;2;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;5/1/2026 17:52:06;Stock;0.00;0.00;11;
2;;11X15;2604-8054;205030725;BOLSA PAPA FRITA MEDIANA KFC PQT X 1000 UND;;;;;;;;;;;;;302;MIL;No aplica;No aplica;3/1/2026 0:00:00;ROJO INTENSO;ANTIGRASA;38;24;17;33;3.010;908.899;01 PQT.;MEDIANA;MEDIANA;1;2;#¡VALOR!;24;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;5/1/2026 18:04:44;Stock;0.00;0.00;12;
2;;7X24;2604-8144;205030796;BOLSA PAPEL KRAFT P/CUBIERTO 7 X 24 IMP. WANTA (PQT X 2000 UND);;;;;;;;;;;;;40;MIL;No aplica;No aplica;4/1/2026 0:00:00;GUINDA- GCMI 74;KRAFT;50;17;24;26;2.104;84.150;0;0;0;1;2;#¡VALOR!;24;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Stock;0.00;0.00;13;
4;En Producción;9X17X6;2604-8055;205012716;BOLSA VYG PAPEL KRAFT #01 (FARDO X 4,000 UND) 2024;;;;;;;;;;;;;300;MIL;No aplica;No aplica;1/1/2026 0:00:00;NO APLICA;KRAFT;50;32;21;21;3.276;982.800;4,000 UND.;MEDIANA;MEDIANA;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;87;9/1/2026 6:09:00;Stock;0.00;0.00;1;
4;;9X17X6;2604-0125      ;205012430;BOLSA PAPEL KRAFT #01 IMP. SALTEÑERIA ROMA (01 CAR - NEGRO);ya tiene clisse;30;30;0;MIL;7/04/2026;7/05/2026;FRILATTE E.I.R.L.;KRAFT 50 GR;GISELLA SEGURA;;;30;MIL;No aplica;No aplica;2/1/2026 0:00:00;NEGRO;KRAFT;50;32;16;21;3.308;99.225;4,000 UND.;MEDIANA.;MEDIANA.;1;2;#¡VALOR!;8;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;88;#N/D;Stock;0.00;0.00;2;
4;En Producción;10.5X20X7;2604-8056;205012712;BOLSA VYG PAPEL KRAFT #02 (FARDO X 2,000 UND) 2024;;;;;;;;;;;;;300;MIL;No aplica;No aplica;3/1/2026 0:00:00;NO APLICA;KRAFT;50;38;25;25;4.631;1389.375;2,000 UND.;MEDIANA;MEDIANA;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;89;6/1/2026 9:39:28;Stock;0.00;0.00;3;
4;;0;2604-8057;205012516;BOLSA PAPEL KRAFT #2 SIN IMP. S/ PIE IMP. ( FARDO X 4000);PEDIDO URGENTE SIN PIE DE IMPRENTA;10;10;0;MIL;13/03/2026;2/04/2026;GONZALES VASQUEZ CARLOS JUNIOR'S;KRAFT 50 GR;BETSY CERNA P.;MAQ 04;;10;MIL;No aplica;No aplica;4/1/2026 0:00:00;NO APLICA;KRAFT;50;38;25;25;4.631;46.313;0;0;0;1;2;#¡VALOR!;8;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;90;#N/D;Stock;0.00;0.00;4;
;;10.5X20X7;2604-0484;205012923;BOLSA KRAFT #02 IMP. EL PAN DE LA CHOLA (NEGRO);;12;12;0;MIL;20/04/2026;5/05/2026;INVERSIONES TERRA MADRE S.A.C.;KRAFT 50 GR;YTALO CERVANTES;;;12;MIL;No aplica;No aplica;5/1/2026 0:00:00;NEGRO;KRAFT;50;38;20;23;4.313;51.750;0;0;0;#N/D;#N/D;#¡VALOR!;#N/D;#N/D;#N/D;#N/D;No;#N/D;#N/D;91;#N/D;Stock;0.00;0.00;5;
6;;15X23X9;2604-8063;205012711;BOLSA VYG PAPEL KRAFT #05 (FARDO X 1000 UND) 2024;;;;;;;;;;;;;300;MIL;No aplica;No aplica;5/1/2026 0:00:00;NO APLICA;KRAFT;50;50;30;30;7.500;2250.000;0;0;0;1;2;#¡VALOR!;8;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;28;#N/D;Stock;0.00;0.00;8;
6;;15X23X9;2604-0359      ;205010869;BOLSA PAPEL KRAFT #05 IMP. PANTTONY;bob. x 13 kg cada una tuco simple;20;20;0;MIL;15/04/2026;30/04/2026;LA FAVORITA ALIMENTOS S.A.C.;KRAFT 60 GR;MARIA PALACIOS;;;20;MIL;No aplica;No aplica;4/1/2026 0:00:00;MARRON BK;KRAFT;50;50;30;30;7.500;150.000;1,000 UND.;CHICA;CHICA;1;2;#¡VALOR!;8;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;27;#N/D;Stock;0.00;0.00;7;
6;;15X26.5X9;2604-8062;205012717;BOLSA VYG PAPEL KRAFT #06 (FARDO X 1,000 UND) 2024;;;;;;;;;;;;;300;MIL;No aplica;No aplica;6/1/2026 0:00:00;NO APLICA;KRAFT;50;50;27;33;8.250;2475.000;0;0;0;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;29;0/1/1900 0:00:00;Stock;0.00;0.00;9;
6;;12.8X24X8;2603-0407A;205012480;BOLSA VYG PAPEL KRAFT #04 - 50GR SIN PIE DE IMPRENTA;PEDIDO URGENTE SIN PIE DE IMPRENTA;10;10;0;MIL;13/03/2026;2/04/2026;GONZALES VASQUEZ CARLOS JUNIOR'S;KRAFT 50 GR;BETSY CERNA P.;;;10;MIL;No aplica;No aplica;;NO APLICA;KRAFT;50;44;30;30;6.525;65.250;0;0;0;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;748;
6;;16X23X4.5;2604-8064;205013089;BOLSA VYG PAPEL KRAFT #04 - 50 GR (PAQ X 2,000 UND) 2025;;;;;;;;;;;;COGIDO DE 50 GR PERO PRODUCIDO CON 60 GRAMOS;300;MIL;No aplica;No aplica;3/4/2026 0:00:00;NO APLICA;KRAFT;60;44;26;26;6.786;2035.800;1,000 UND.;MEDIANA;MEDIANA;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;751;
6;Por programar;15x28.5x9;2604-8058;205012083;BOLSA PAPEL KRAFT #6 IMP. CLINICA SAN FELIPE (VERDE/AZUL) - 02 CAR;;;;;;;;;;;;;10;MIL;No aplica;No aplica;;VERDE BK CLARO Y AZUL;KRAFT;50;50;33;33;8.250;82.500;1,000 UND.;CHICA;CHICA;1;2;#¡VALOR!;8;#N/D;#¡VALOR!;#N/D;No;#N/D;#N/D;;#N/D;Stock;0.00;0.00;760;
6;Por programar;15x28.5x9;2604-8059;205011976;BOLSA PAPEL KRAFT #6 IMP. SANNA (02 CAR - VERDE);;;;;;;;;;;;;20;MIL;No aplica;No aplica;1/1/2026 0:00:00;VERDE MATIZ*;KRAFT;50;50;33;33;8.250;165.000;1,000 UND.;CHICA;CHICA;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;1/1/2026 22:42:38;Stock;0.00;0.00;12;
6;Por programar;15x28.5x9;2604-8060;205012080;BOLSA PAPEL KRAFT #6 IMP. SANNA DR+ (02 CAR - VERDE/NEGRO);PRODUCIR;36;36;10;MIL;7/05/2025;7/05/2025;DOCTOR + S.A.C.;KRAFT 50 GR;BETSY CERNA P.;;;36;MIL;No aplica;No aplica;1/1/2026 0:00:00;VERDE MATIZ* + NEGRO;KRAFT;50;50;33;33;8.250;297.000;1,000 UND.;CHICA;CHICA;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;2/1/2026 2:04:44;Stock;0.00;0.00;11;
6;En cola;15X26.5X9;2604-8061;205012150;BOLSA PAPEL KRAFT #06 IMP. LA CASA DEL ALFAJOR (02 COL);para stock;40;40;10;MIL;13/09/2025;23/09/2025;LA CASA DEL ALFAJOR S.A.C.;KRAFT 50 GR;MARIA PALACIOS;MATERIAL CERTIFICADO;;30;MIL;No aplica;No aplica;1/1/2026 0:00:00;VERDE CHILIS Y ROJO;KRAFT;50;50;27;33;8.250;247.500;1,000 UND.;CHICA;CHICA;1;2;#¡VALOR!;8;0.00;#¡VALOR!;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;2/1/2026 0:48:57;Pedido;0.00;0.00;12;
