;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Domingos;;;;;;;;
MAQ;Estado;Medida;Orden de Fabricación;Código PT;Descricpción;REFERENCIA;CANT. PEDIDO;SALDO POR ATENDER;STOCK;UM;FECHA DE EMISION;FECHA DE ENTREGA;RAZON SOCIAL;MARCA;VENDEDOR;DETALLE PRODUCTO;OBSERVACIÓN;Cantidad;U.M.;MT;TP;Inicio Prod ;COLORES;MATERIAL;GRAMAGE;ANCHO;ALTO;CILINDRO;PESO POR MILLAR;PESO REQUERIDO;CANTIDAD DE EMPAQUETADO;TIPO DE ETIQUETA;Horas preparación de máquina;Horas corrección;Horas de Producción;Horas de tabajo (maquina);Dias de la semana;Horas Estimadas;Horas sub total;Dia festivo;Horas totales de producción;Fin de ocupación-Calculado;Fin de Producción-Proyectado;Auxiliar;Fin de Producción;Tipo de Producción;Stock PT;Stock PT (UM);Orden;Columna1
Flexo 1;;25x35;2603-0592      ;203030540;HOJA PAPEL ANTIGRASA 35 X 50 (CORTADO EN 35 X 25) IMP. LA MASSERIA (01 COL - MARRON);;5;5;0;MIL;20/03/2026;4/04/2026;GRUPO LA MASSERIA S.A.C.;ANTIGRASA 40 GR;YTALO CERVANTES;Flexo 1;;5;MIL;1250;1250.0000;6/2/2026 0:00:00;MARRON;ANTIGRASA;38;50;25;25;4.750;23.750;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;-46.61111111;
Flexo 1;;30x45;2602-0601;203030597;HOJA PAPEL ANTIGRASA MARRON 30 X 45 (01 COL - 01 CAR) IMP. APPLEBEE'S;PRIMAVERA;5;1.003;0;MIL;23/02/2026;24/02/2026;PERCAPITALS SOCIEDAD ANONIMA CERRADA-PERCAPITALS S.A.C.;ANTIGRASA MARRON 38 GR;BETSY CERNA P.;FLEXO GCMI 76;;5;MIL;2250;2250.0000;18/2/2026 0:00:00;ROJO;ANTIGRASA MARRON;38;30;45;33;3.762;18.810;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;-34.61111111;
Flexo 1;;33X35;2603-0665A;203030687;HOJA PAPEL ANTIGRASA 35X33 IMP. LINEAS (INSOLITO);papel antigrasa de 45 grs mismo diseño;10;10;0;MIL;24/03/2026;18/04/2026;INVERSIONES INSOLITO S.A.C.;ANTIGRASA 45 GR;MARIA PALACIOS;;;10;MIL;3600;3600.0000;7/2/2026 0:00:00;NEGRO;ANTIGRASA;45;35;36;36;5.670;56.700;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;5/2/2026 20:18:00;Stock;0.00;0.00;-45.61111111;
Flexo 1;;33X35;2603-0665B;203030685;HOJA PAPEL ANTIGRASA 35X33 IMP. CIRCULO (INSOLITO);papel antigrasa de 45 grs mismo diseño;10;10;0;MIL;24/03/2026;18/04/2026;INVERSIONES INSOLITO S.A.C.;ANTIGRASA 45 GR;MARIA PALACIOS;;;10;MIL;3600;3600.0000;8/2/2026 0:00:00;NEGRO;ANTIGRASA;45;35;36;36;5.670;56.700;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;-44.61111111;
Flexo 1;;33X35;2603-0665C;203030686;HOJA PAPEL ANTIGRASA 35X33 IMP. ROMBO (INSOLITO);papel antigrasa de 45 grs mismo diseño;10;10;0;MIL;24/03/2026;18/04/2026;INVERSIONES INSOLITO S.A.C.;ANTIGRASA 45 GR;MARIA PALACIOS;;;10;MIL;3600;3600.0000;9/2/2026 0:00:00;NEGRO;ANTIGRASA;45;35;36;36;5.670;56.700;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;5/2/2026 20:18:00;Stock;0.00;0.00;-43.61111111;
Flexo 1;;17X24;2603-0885;203030736;HOJA PAPEL ANTIGRASA 17 X 24 IMP. PAPERO (01 COL. MARRON) (20 PQT X 200 UND);para stock;20;20;22;PQT;31/03/2026;31/03/2026;MENGAM S.A.C.;ANTIGRASA 40 GR;MARGOT MARCHENA;CONVERTIDORA-ANTIGRASA 40 GRS. 01 COLOR (MARRON) - COMPLETO;;80;MIL;19200;19200.0000;13/2/2026 0:00:00;MARRON;ANTIGRASA;38;35;24;33;4.389;351.120;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;-39.61111111;
Flexo 1;;15.5X15.5;2603-0865A;205070003;SOBRE PAPEL ANTIGRASA (15.5 X 15.5) IMP. JACINTO Y CORNELIA ( 02 COL) AMARILLO/NEGRO;SOBRES, S/3,894, TIENEN PANTONE,;20;20;0;MIL;30/03/2026;29/04/2026;SINTONIA S.A.C.;ANTIGRASA 40 GR;MARGOT MARCHENA;BOL-01-FLEXOGRAFIA-FLEXO 1- PANTONE BLACK 6 U/ P 1355U, PAQUETES DE 500 UNIDADES;;20;MIL;3100;3100.0000;14/2/2026 0:00:00;NEGRO,P1355U;ANTIGRASA;38;35;16;36;4.788;95.760;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;-38.61111111;
Flexo 1;;15.5X15.5;2603-0865B;205070004;SOBRE PAPEL ANTIGRASA (15.5 X 15.5) IMP. JACINTO Y CORNELIA ( 02 COL) ROJO/NEGRO;SOBRES, S/3,894, TIENEN PANTONE,;20;20;0;MIL;30/03/2026;29/04/2026;SINTONIA S.A.C.;ANTIGRASA 40 GR;MARGOT MARCHENA;BOL-01-FLEXOGRAFIA-FLEXO 1- PANTONE BLACK 6 U/ P 2031U, PAQUETES DE 500 UNIDADES;;20;MIL;3100;3100.0000;15/2/2026 0:00:00;NEGRO,P2031U;ANTIGRASA;38;35;16;36;4.788;95.760;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;-37.61111111;
Flexo 1;;15.5X15.5;2603-0865C;205070005;SOBRE PAPEL ANTIGRASA (15.5 X 15.5) IMP. JACINTO Y CORNELIA ( 02 COL) VERDE/NEGRO;SOBRES, S/3,894, TIENEN PANTONE,;20;20;0;MIL;30/03/2026;29/04/2026;SINTONIA S.A.C.;ANTIGRASA 40 GR;MARGOT MARCHENA;BOL-01-FLEXOGRAFIA-FLEXO 1- PANTONE BLACK 6 U/ P 324U, PAQUETES DE 500 UNIDADES;;20;MIL;3100;3100.0000;16/2/2026 0:00:00;NEGRO,P324U;ANTIGRASA;38;35;16;36;4.788;95.760;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;-36.61111111;
Flexo 1;;35X36;2604-8014;203030721;PAPEL ENVOLTURA MEDIANA BEMBOS 2025 (PQTE X 500);;;;;;;;;;;;NUEVO DISEÑO;260;MIL;85800;85800.0000;17/2/2026 0:00:00;AZUL(P286U),ROJO(P2347U),AMARILLO CALENTADO(P116U),AMARILLO;ANTIGRASA;38;35;33;33;4.389;1141.140;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;-35.61111111;
Flexo 1;;28X30;2604-8015;203030722;PAPEL ENVOLTURA JR BEMBOS 2025 (PQTE X 500);;;;;;;;;;;;NUEVO DISEÑO;600;MIL;198000;198000.0000;18/2/2026 0:00:00;AZUL(P286U),ROJO(P2347U),AMARILLO CALENTADO(P116U),AMARILLO;ANTIGRASA;38;31;33;33;3.887;2332.440;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;-34.61111111;
Flexo 1;;11X13;2604-8017;205030892;SOBRE DE PAPA MED BEMBOS PQTE X 4000 UND  2025;;;;;;;;;;;;NUEVO DISEÑO;410;MIL;53300;53300.0000;20/2/2026 0:00:00;AMARILLO,AZUL(P286U),ROJO(P2347U);ANTIGRASA;38;24;13;39;3.557;1458.288;0;0;0;1;2;1;8;#N/D;26.50;#N/D;No;#N/D;#N/D;;#N/D;Stock;0.00;0.00;-32.61111111;
Flexo 1;;11X10.5;2604-8018;205030894;SOBRE DE PAPA JR. BEMBOS PQTE X 4000 UND 2025;;;;;;;;;;;;NUEVO DISEÑO;900;MIL;94500;94500.0000;21/2/2026 0:00:00;AZUL(P286U),ROJO(P2347U),AMARILLO CALENTADO(P116U),;ANTIGRASA;38;24;11;21;1.915;1723.680;0;0;0;1;2;1;8;#N/D;26.50;#N/D;No;#N/D;#N/D;;#N/D;Stock;0.00;0.00;-31.61111111;
Flexo 1;;11X15;2604-8016;205030893;SOBRE DE PAPA GDE BEMBOS PQTE X 1000 UND 2025;;;;;;;;;;;;NUEVO DISEÑO;240;MIL;36000;36000.0000;19/2/2026 0:00:00;AMARILLO,AZUL(P286U),ROJO(P2347U);ANTIGRASA;38;24;15;45;4.104;984.960;01 PQT.;MEDIANA;MEDIANA;1;2;1;8;#N/D;26.50;#N/D;No;#N/D;#N/D;;#N/D;Stock;0.00;0.00;-33.61111111;
Flexo 1;En cola;33X32;2604-8000;203030714;PAPEL SANDWICH KFC PAQ X 500 NVO  ;;;;;;;;;;;;;200;MIL;66000;66000.0000;12/2/2026 0:00:00;NEGRO GMCI 90, ROJO GCMI 74, AMARILLO GCMI 103, NARANJA GCMI 50;ANTIGRASA;33;39;33;33;4.247;849.420;0;0;0;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;0/1/1900 0:00:00;Stock;0.00;0.00;-40.61111111;
Flexo 1;En cola;15x15;2604-8001;203030331;LINNER 06 PERSONAL PQT X 1000 UND;;;;;;;;;;;;;100;MIL;15000;15000.0000;13/2/2026 0:00:00;ROJO;ANTIGRASA;38;31;15;15;1.767;176.700;01 PQT.;MEDIANA;MEDIANA;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;2/1/2026 2:00:00;Stock;0.00;0.00;-39.61111111;
Flexo 1;Por programar;31X29;2604-8002;203030333;LINNER 12 GRANDE PQT X 1000 UND;;;;;;;;;;;;;130;MIL;37700;37700.0000;14/2/2026 0:00:00;ROJO;ANTIGRASA;38;31;29;33;3.887;505.362;01 PQT.;MEDIANA;MEDIANA;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;2/1/2026 13:21:00;Stock;0.00;0.00;-38.61111111;
Flexo 1;Por programar;35x38;2604-8003;203030334;LINNER 14 FAMILIAR PQT X 1000 UND;;;;;;;;;;;;;80;MIL;30400;30400.0000;15/2/2026 0:00:00;ROJO;ANTIGRASA;38;35;38;33;4.389;351.120;01 PQT.;MEDIANA;MEDIANA;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;2/1/2026 9:42:00;Stock;0.00;0.00;-37.61111111;
Flexo 1;Por programar;22.5x22.5;2604-8004;203030332;LINNER 09 MEDIANO PQT X 1000 UND;;;;;;;;;;;;;120;MIL;27000;27000.0000;1/1/2026 0:00:00;ROJO;ANTIGRASA;38;24;23;33;3.010;361.152;01 PQT.;MEDIANA;MEDIANA;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;2/1/2026 8:00:00;Stock;0.00;0.00;28;
Flexo 1;Por programar;29X35;2604-8005;203030651;PAPEL SANDWICHS PH X 3000 UND;;;;;;;;;;;;;120;MIL;42000;42000.0000;1/1/2026 0:00:00;NEGRO GCMI74;ANTIGRASA;33;30;35;36;3.564;427.680;01 PQT.;MEDIANA;MEDIANA;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;2/1/2026 15:30:00;Stock;0.00;0.00;29;
Flexo 1;Por programar;35 X 40;2604-8006;203030623;HOJA PAPEL ANTIGRASA 35 X 40 IMP. JUICY LUCY (ENVOLVER) PAQ X 500 UND;;;;;;;;;;;;;60;MIL;21000;21000.0000;1/1/2026 0:00:00;NEGRO;ANTIGRASA;45;44;35;33;6.460;387.585;01 PQT.;CHICA;CHICA;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;2/1/2026 5:00:00;Stock;0.00;0.00;30;
Flexo 1;;24 X 27;2604-8007;203030622;HOJA PAPEL ANTIGRASA 24 X 27 IMP. JUICY LUCY (BANDEJA)PAQ X 500 UND;;;;;;;;;;;;;60;MIL;14400;14400.0000;2/1/2026 0:00:00;NEGRO;ANTIGRASA;50;28;24;33;4.610;276.606;01 PQT.;CHICA;CHICA;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;3/1/2026 1:42:00;Stock;0.00;0.00;31;
Flexo 1;Por programar;42X30.5;2604-8008;203030552;PAPEL ANTIGRASA 42 X 30.5 IMP. CH X 1000 UND;;;;;;;;;;;;;15;MIL;6300;6300.0000;3/1/2026 0:00:00;X CONFIMRAR;ANTIGRASA;38;35;42;42;5.586;83.790;01 PQT.;MEDIANA;MEDIANA;1;2;1;8;0.00;26.50;0.00;0.00;0/1/1900 0:00:00;0/1/1900 0:00:00;;3/1/2026 21:39:00;Stock;0.00;0.00;32;
